lane,index,frame,bin,re,im
A,222,2,94,-3,0
A,223,2,95,-1,0
A,224,2,96,0,0
A,225,2,97,-2,0
A,226,2,98,-1,0
A,227,2,99,-2,0
A,228,2,100,-1,0
A,229,2,101,-2,0
A,230,2,102,-2,0
A,231,2,103,0,0
A,232,2,104,-1,0
A,233,2,105,-1,0
A,234,2,106,-1,0
A,235,2,107,-2,0
A,236,2,108,0,0
A,237,2,109,-2,0
A,238,2,110,-1,0
A,239,2,111,-1,0
A,240,2,112,-1,0
A,241,2,113,-4,0
A,242,2,114,-3,0
A,243,2,115,-2,0
A,244,2,116,-2,0
A,245,2,117,-2,0
A,246,2,118,-3,0
A,247,2,119,-2,0
A,248,2,120,-2,0
A,249,2,121,-2,0
A,250,2,122,-2,0
A,251,2,123,0,0
A,252,2,124,-2,0
A,253,2,125,-2,0
A,254,2,126,-4,0
A,255,2,127,-1,0
A,256,4,0,1,0
A,257,4,1,2,0
A,258,4,2,0,0
A,259,4,3,2,0
A,260,4,4,-1,0
A,261,4,5,2,0
A,262,4,6,1,0
A,263,4,7,2,0
A,264,4,8,1,0
A,265,4,9,2,0
A,266,4,10,1,0
A,267,4,11,1,0
A,268,4,12,-1,0
A,269,4,13,1,0
A,270,4,14,1,0
A,271,4,15,1,0
A,272,4,16,0,0
A,273,4,17,1,0
A,274,4,18,1,0
A,275,4,19,-1,0
A,276,4,20,1,0
A,277,4,21,0,0
A,278,4,22,1,0
A,279,4,23,1,0
A,280,4,24,0,0
A,281,4,25,-1,0
A,282,4,26,0,0
A,283,4,27,0,0
A,284,4,28,1,0
A,285,4,29,1,0
A,286,4,30,0,0
A,287,4,31,1,0
A,288,4,32,2,0
A,289,4,33,3,0
A,290,4,34,3,0
A,291,4,35,0,0
A,292,4,36,2,0
A,293,4,37,0,0
A,294,4,38,3,0
A,295,4,39,2,0
A,296,4,40,2,0
A,297,4,41,2,0
A,298,4,42,5,0
A,299,4,43,1,0
A,300,4,44,3,0
A,301,4,45,1,0
A,302,4,46,4,0
A,303,4,47,2,0
A,304,4,48,1,0
A,305,4,49,1,0
A,306,4,50,3,0
A,307,4,51,-1,0
A,308,4,52,2,0
A,309,4,53,0,0
A,310,4,54,2,0
A,311,4,55,0,0
A,312,4,56,1,0
A,313,4,57,-1,0
A,314,4,58,2,0
A,315,4,59,-1,0
A,316,4,60,2,0
