sample,re,im,,,,,
276,454,0,,,,,
277,410,0,,,,,
278,419,0,,,,,
279,527,0,,,,,
280,490,0,,,,,
281,558,0,,,,,
282,541,0,,,,,
283,655,0,,,,,
284,684,0,,,,,
285,592,0,,,,,
286,675,0,,,,,
287,703,0,,,,,
288,631,0,,,,,
289,619,0,,,,,
290,550,0,,,,,
291,432,0,,,,,
292,409,0,,,,,
293,480,0,,,,,
294,589,0,,,,,
295,544,0,,,,,
296,565,0,,,,,
297,607,0,,,,,
298,553,0,,,,,
299,637,0,,,,,
300,685,0,,,,,
301,713,0,,,,,
302,707,0,,,,,
303,641,0,,,,,
304,500,0,,,,,
305,359,0,,,,,
306,352,0,,,,,
307,230,0,,,,,
308,129,0,,,,,
309,21,0,,,,,
310,-72,0,,,,,
311,-142,0,,,,,
312,-80,0,,,,,
313,24,0,,,,,
314,63,0,,,,,
315,-125,0,,,,,
316,-124,0,,,,,
317,141,0,,,,,
318,311,0,,,,,
319,197,0,,,,,
320,159,0,,,,,
321,382,0,,,,,
322,312,0,,,,,
323,243,0,,,,,
324,359,0,,,,,
325,362,0,,,,,
326,515,0,,,,,
327,479,0,,,,,
328,466,0,,,,,
329,406,0,,,,,
330,418,0,,,,,
331,405,0,,,,,
332,171,0,,,32115, ,129.37751
333,169,0,,,,,
334,241,0,,,,,
335,321,0,,,,,
336,304,0,,,,,
337,243,0,,,,,
338,242,0,,,,,
339,274,0,,,,,
340,189,0,,,,,
341,187,0,,,,,
342,83,0,,,,,
343,8,0,,,,,
344,-59,0,,,,,
345,25,0,,,,,
346,117,0,,,,,
347,17,0,,,,,
348,-68,0,,,,,
349,-144,0,,,,,
350,-120,0,,,,,
351,-41,0,,,,,
352,-156,0,,,,,
353,-214,0,,,,,
354,-247,0,,,,,
355,-152,0,,,,,
356,-195,0,,,,,
357,-198,0,,,,,
358,-80,0,,,,,
359,20,0,,,,,
360,226,0,,,,,
361,307,0,,,,,
362,256,0,,,,,
363,103,0,,,,,
364,-5,0,,,,,
365,3,0,,,,,
366,-42,0,,,,,
367,-29,0,,,,,
368,-93,0,,,,,
369,-181,0,,,,,
370,-302,0,,,,,
371,-473,0,,,,,
372,-517,0,,,,,
373,-497,0,,,,,
374,-546,0,,,,,
375,-635,0,,,,,
376,-722,0,,,,,
377,-759,0,,,,,
378,-723,0,,,,,
379,-751,0,,,,,
380,-745,0,,,,,
381,-629,0,,,,,
382,-470,0,,,,,
383,-534,0,,,,,
384,-613,0,,,,,
385,-574,0,,,,,
386,-461,0,,,,,
387,-449,0,,,,,
388,-359,0,,,,,
389,-133,0,,,,,
390,-117,0,,,,,
391,-180,0,,,,,
392,-39,0,,,,,
393,137,0,,,,,
394,341,0,,,,,
395,277,0,,,,,
396,115,0,,,,,
397,65,0,,,,,
398,20,0,,,,,
399,134,0,,,,,
400,145,0,,,,,
401,-55,0,,,,,
402,-158,0,,,,,
403,-78,0,,,,,
404,119,0,,,,,
405,305,0,,,,,
406,333,0,,,,,
407,288,0,,,,,
408,335,0,,,,,
409,287,0,,,,,
410,240,0,,,,,
411,217,0,,,,,
412,76,0,,,,,
413,-116,0,,,,,
414,-270,0,,,,,
415,-276,0,,,,,
416,-269,0,,,,,
417,-471,0,,,,,
418,-615,0,,,,,
419,-564,0,,,,,
420,-540,0,,,,,
421,-521,0,,,,,
422,-528,0,,,,,
423,-516,0,,,,,
424,-413,0,,,,,
425,-440,0,,,,,
426,-563,0,,,,,
427,-661,0,,,,,
428,-713,0,,,,,
429,-605,0,,,,,
430,-668,0,,,,,
431,-682,0,,,,,
432,-546,0,,,,,
433,-493,0,,,,,
434,-479,0,,,,,
435,-264,0,,,,,
436,-137,0,,,,,
437,-205,0,,,,,
438,-412,0,,,,,
439,-409,0,,,,,
440,-311,0,,,,,
441,-419,0,,,,,
442,-554,0,,,,,
443,-615,0,,,,,
444,-579,0,,,,,
445,-445,0,,,,,
446,-427,0,,,,,
447,-269,0,,,,,
448,-182,0,,,,,
449,-406,0,,,,,
450,-377,0,,,,,
451,-313,0,,,,,
452,-282,0,,,,,
453,-189,0,,,,,
454,-140,0,,,,,
455,-3,0,,,,,
456,64,0,,,,,
457,178,0,,,,,
458,408,0,,,,,
459,465,0,,,,,
460,509,0,,,,,
461,603,0,,,,,
462,716,0,,,,,
463,808,0,,,,,
464,847,0,,,,,
465,957,0,,,,,
466,974,0,,,,,
467,939,0,,,,,
468,991,0,,,,,
469,1002,0,,,,,
470,1082,0,,,,,
471,1157,0,,,,,
472,1076,0,,,,,
473,996,0,,,,,
474,968,0,,,,,
475,1002,0,,,,,
476,982,0,,,,,
477,890,0,,,,,
478,896,0,,,,,
479,976,0,,,,,
480,998,0,,,,,
481,806,0,,,,,
482,692,0,,,,,
483,717,0,,,,,
484,621,0,,,,,
485,461,0,,,,,
486,158,0,,,,,
487,-14,0,,,,,
488,40,0,,,,,
489,122,0,,,,,
490,154,0,,,,,
491,193,0,,,,,
492,150,0,,,,,
493,-18,0,,,,,
494,-99,0,,,,,
495,-203,0,,,,,
496,-222,0,,,,,
497,-263,0,,,,,
498,-421,0,,,,,
499,-487,0,,,,,
500,-624,0,,,,,
501,-803,0,,,,,
502,-824,0,,,,,
503,-819,0,,,,,
504,-935,0,,,,,
505,-941,0,,,,,
506,-997,0,,,,,
507,-1018,0,,,,,
508,-932,0,,,,,
509,-872,0,,,,,
510,-935,0,,,,,
511,-866,0,,,,,
512,-801,0,,,,,
513,-765,0,,,,,
514,-517,0,,,,,
515,-440,0,,,,,
516,-502,0,,,,,
517,-572,0,,,,,
518,-613,0,,,,,
519,-540,0,,,,,
520,-426,0,,,,,
521,-253,0,,,,,
522,-315,0,,,,,
523,-303,0,,,,,
524,-181,0,,,,,
525,-164,0,,,,,
526,-183,0,,,,,
527,-370,0,,,,,
528,-433,0,,,,,
529,-314,0,,,,,
530,-246,0,,,,,
531,-266,0,,,,,
532,-238,0,,,,,
533,-82,0,,,,,
534,11,0,,,,,
535,23,0,,,,,
536,-14,0,,,,,
537,-90,0,,,,,
538,-166,0,,,,,
539,-202,0,,,,,
540,-203,0,,,,,
541,-137,0,,,,,
542,-53,0,,,,,
543,71,0,,,,,
544,110,0,,,,,
545,194,0,,,,,
546,262,0,,,,,
547,310,0,,,,,
548,369,0,,,,,
549,369,0,,,,,
550,316,0,,,,,
551,253,0,,,,,
552,232,0,,,,,
553,146,0,,,,,
554,170,0,,,,,
555,63,0,,,,,
556,-6,0,,,,,
557,26,0,,,,,
558,179,0,,,,,
559,311,0,,,,,
560,257,0,,,,,
561,103,0,,,,,
562,117,0,,,,,
563,142,0,,,,,
564,25,0,,,,,
565,-28,0,,,,,
566,-31,0,,,,,
567,-9,0,,,,,
568,66,0,,,,,
569,52,0,,,,,
570,13,0,,,,,
571,0,0,,,,,
572,7,0,,,,,
573,-47,0,,,,,
574,-118,0,,,,,
575,-143,0,,,,,
576,-158,0,,,,,
577,-274,0,,,,,
578,-360,0,,,,,
579,-311,0,,,,,
580,-172,0,,,,,
581,-102,0,,,,,
582,-183,0,,,,,
583,-160,0,,,,,
584,-166,0,,,,,
585,-65,0,,,,,
586,-35,0,,,,,
587,-126,0,,,,,
588,-173,0,,,,,
589,-130,0,,,,,
590,-37,0,,,,,
591,-37,0,,,,,
592,-202,0,,,,,
593,-334,0,,,,,
594,-392,0,,,,,
595,-401,0,,,,,
596,-391,0,,,,,
597,-316,0,,,,,
598,-238,0,,,,,
599,-237,0,,,,,
600,-237,0,,,,,
601,-328,0,,,,,
602,-602,0,,,,,
603,-682,0,,,,,
604,-612,0,,,,,
605,-419,0,,,,,
606,-370,0,,,,,
607,-436,0,,,,,
608,-398,0,,,,,
609,-220,0,,,,,
610,-140,0,,,,,
611,-203,0,,,,,
612,-166,0,,,,,
613,29,0,,,,,
614,115,0,,,,,
615,55,0,,,,,
616,95,0,,,,,
617,143,0,,,,,
618,232,0,,,,,
619,325,0,,,,,
620,343,0,,,,,
621,480,0,,,,,
622,683,0,,,,,
623,692,0,,,,,
624,651,0,,,,,
625,687,0,,,,,
626,846,0,,,,,
627,959,0,,,,,
628,1064,0,,,,,
629,1016,0,,,,,
630,854,0,,,,,
631,853,0,,,,,
632,911,0,,,,,
633,995,0,,,,,
634,884,0,,,,,
635,755,0,,,,,
636,773,0,,,,,
637,809,0,,,,,
638,974,0,,,,,
639,998,0,,,,,
640,986,0,,,,,
641,910,0,,,,,
642,667,0,,,,,
643,651,0,,,,,
644,630,0,,,,,
645,447,0,,,,,
646,386,0,,,,,
647,388,0,,,,,
648,407,0,,,,,
649,316,0,,,,,
650,145,0,,,,,
651,148,0,,,,,
652,25,0,,,,,
653,-22,0,,,,,
654,-22,0,,,,,
655,5,0,,,,,
656,-37,0,,,,,
657,-119,0,,,,,
658,-72,0,,,,,
659,-165,0,,,,,
660,-74,0,,,,,
661,-22,0,,,,,
662,-52,0,,,,,
663,-105,0,,,,,
664,-132,0,,,,,
665,-64,0,,,,,
666,-150,0,,,,,
667,-386,0,,,,,
668,-377,0,,,,,
669,-238,0,,,,,
670,-200,0,,,,,
671,-179,0,,,,,
672,-274,0,,,,,
673,-434,0,,,,,
674,-414,0,,,,,
675,-405,0,,,,,
676,-524,0,,,,,
677,-427,0,,,,,
678,-373,0,,,,,
679,-372,0,,,,,
680,-263,0,,,,,
681,-118,0,,,,,
682,-5,0,,,,,
683,-11,0,,,,,
684,56,0,,,,,
685,232,0,,,,,
686,307,0,,,,,
687,337,0,,,,,
688,375,0,,,,,
689,443,0,,,,,
690,465,0,,,,,
691,328,0,,,,,
692,373,0,,,,,
693,566,0,,,,,
694,628,0,,,,,
695,531,0,,,,,
696,318,0,,,,,
697,373,0,,,,,
698,597,0,,,,,
699,605,0,,,,,
700,440,0,,,,,
701,387,0,,,,,
702,299,0,,,,,
703,196,0,,,,,
704,258,0,,,,,
705,90,0,,,,,
706,-9,0,,,,,
707,-66,0,,,,,
708,-76,0,,,,,
709,-2,0,,,,,
710,-53,0,,,,,
711,59,0,,,,,
712,140,0,,,,,
713,101,0,,,,,
714,111,0,,,,,
715,55,0,,,,,
716,75,0,,,,,
717,60,0,,,,,
718,3,0,,,,,
719,-82,0,,,,,
720,-122,0,,,,,
721,-148,0,,,,,
722,-173,0,,,,,
723,-165,0,,,,,
724,-121,0,,,,,
725,-47,0,,,,,
726,-96,0,,,,,
727,-121,0,,,,,
728,-49,0,,,,,
729,-56,0,,,,,
730,-4,0,,,,,
731,65,0,,,,,
732,70,0,,,,,
733,15,0,,,,,
734,93,0,,,,,
735,163,0,,,,,
736,191,0,,,,,
737,144,0,,,,,
738,119,0,,,,,
739,231,0,,,,,
740,272,0,,,,,
741,245,0,,,,,
742,70,0,,,,,
743,44,0,,,,,
744,46,0,,,,,
745,-111,0,,,,,
746,-60,0,,,,,
747,-43,0,,,,,
748,-4,0,,,,,
749,-3,0,,,,,
750,-59,0,,,,,
751,-71,0,,,,,
752,-115,0,,,,,
753,-156,0,,,,,
754,-322,0,,,,,
755,-443,0,,,,,
756,-391,0,,,,,
757,-338,0,,,,,
758,-312,0,,,,,
759,-426,0,,,,,
760,-445,0,,,,,
761,-370,0,,,,,
762,-298,0,,,,,
763,-462,0,,,,,
764,-546,0,,,,,
765,-585,0,,,,,
766,-652,0,,,,,
767,-678,0,,,,,
768,-636,0,,,,,
769,-574,0,,,,,
770,-577,0,,,,,
771,-607,0,,,,,
772,-623,0,,,,,
773,-620,0,,,,,
774,-672,0,,,,,
775,-703,0,,,,,
776,-547,0,,,,,
777,-407,0,,,,,
778,-278,0,,,,,
779,-89,0,,,,,
780,30,0,,,,,
781,61,0,,,,,
782,157,0,,,,,
783,170,0,,,,,
784,75,0,,,,,
785,32,0,,,,,
786,-137,0,,,,,
787,-120,0,,,,,
788,-37,0,,,,,
789,47,0,,,,,
790,105,0,,,,,
791,80,0,,,,,
792,202,0,,,,,
793,394,0,,,,,
794,365,0,,,,,
795,285,0,,,,,
796,269,0,,,,,
797,262,0,,,,,
798,412,0,,,,,
799,465,0,,,,,
800,483,0,,,,,
801,494,0,,,,,
802,423,0,,,,,
803,279,0,,,,,
804,193,0,,,,,
805,148,0,,,,,
806,54,0,,,,,
807,-56,0,,,,,
808,-111,0,,,,,
809,-221,0,,,,,
810,-346,0,,,,,
811,-393,0,,,,,
812,-416,0,,,,,
813,-439,0,,,,,
814,-517,0,,,,,
815,-439,0,,,,,
816,-402,0,,,,,
817,-554,0,,,,,
818,-572,0,,,,,
819,-490,0,,,,,
820,-272,0,,,,,
821,-144,0,,,,,
822,-153,0,,,,,
823,2,0,,,,,
824,152,0,,,,,
825,240,0,,,,,
826,245,0,,,,,
827,284,0,,,,,
828,382,0,,,,,
829,392,0,,,,,
830,427,0,,,,,
831,353,0,,,,,
832,277,0,,,,,
833,345,0,,,,,
834,309,0,,,,,
835,393,0,,,,,
836,283,0,,,,,
837,242,0,,,,,
838,214,0,,,,,
839,215,0,,,,,
840,257,0,,,,,
841,79,0,,,,,
842,21,0,,,,,
843,56,0,,,,,
844,4,0,,,,,
845,-71,0,,,,,
846,-201,0,,,,,
847,-274,0,,,,,
848,-250,0,,,,,
849,-202,0,,,,,
850,-260,0,,,,,
851,-303,0,,,,,
852,-246,0,,,,,
853,-229,0,,,,,
854,-300,0,,,,,
855,-394,0,,,,,
856,-607,0,,,,,
857,-633,0,,,,,
858,-445,0,,,,,
859,-394,0,,,,,
860,-439,0,,,,,
861,-455,0,,,,,
862,-347,0,,,,,
863,-167,0,,,,,
864,-70,0,,,,,
865,1,0,,,,,
866,100,0,,,,,
867,107,0,,,,,
868,119,0,,,,,
869,136,0,,,,,
870,187,0,,,,,
871,167,0,,,,,
872,96,0,,,,,
873,183,0,,,,,
874,243,0,,,,,
875,129,0,,,,,
876,23,0,,,,,
877,-12,0,,,,,
878,-33,0,,,,,
879,3,0,,,,,
880,-6,0,,,,,
881,110,0,,,,,
882,294,0,,,,,
883,307,0,,,,,
884,239,0,,,,,
885,200,0,,,,,
886,173,0,,,,,
887,152,0,,,,,
888,155,0,,,,,
889,172,0,,,,,
890,255,0,,,,,
891,284,0,,,,,
892,251,0,,,,,
893,254,0,,,,,
894,277,0,,,,,
895,285,0,,,,,
896,306,0,,,,,
897,431,0,,,,,
898,432,0,,,,,
899,326,0,,,,,
900,391,0,,,,,
901,475,0,,,,,
902,405,0,,,,,
903,285,0,,,,,
904,228,0,,,,,
905,315,0,,,,,
906,288,0,,,,,
907,229,0,,,,,
908,185,0,,,,,
909,197,0,,,,,
910,211,0,,,,,
911,243,0,,,,,
912,295,0,,,,,
913,260,0,,,,,
914,257,0,,,,,
915,292,0,,,,,
916,376,0,,,,,
917,440,0,,,,,
918,316,0,,,,,
919,110,0,,,,,
920,17,0,,,,,
921,-44,0,,,,,
922,-179,0,,,,,
923,-224,0,,,,,
924,-288,0,,,,,
925,-340,0,,,,,
926,-302,0,,,,,
927,-429,0,,,,,
928,-505,0,,,,,
929,-517,0,,,,,
930,-513,0,,,,,
931,-538,0,,,,,
932,-676,0,,,,,
933,-782,0,,,,,
934,-824,0,,,,,
935,-733,0,,,,,
936,-782,0,,,,,
937,-854,0,,,,,
938,-855,0,,,,,
939,-839,0,,,,,
940,-759,0,,,,,
941,-717,0,,,,,
942,-639,0,,,,,
943,-602,0,,,,,
944,-588,0,,,,,
945,-522,0,,,,,
946,-433,0,,,,,
947,-327,0,,,,,
948,-307,0,,,,,
949,-298,0,,,,,
950,-340,0,,,,,
951,-321,0,,,,,
952,-343,0,,,,,
953,-405,0,,,,,
954,-326,0,,,,,
955,-233,0,,,,,
956,-192,0,,,,,
957,-327,0,,,,,
958,-389,0,,,,,
959,-328,0,,,,,
960,-265,0,,,,,
961,-349,0,,,,,
962,-383,0,,,,,
963,-305,0,,,,,
964,-233,0,,,,,
965,-293,0,,,,,
966,-330,0,,,,,
967,-278,0,,,,,
968,-273,0,,,,,
